game,changelog
Crusader Kings II,women will now also ask for a job title if they are allowed to hold it and are more qualified than the current council member.
Crusader Kings II,lovers in prison can no longer get impregnated normally.
Crusader Kings II,it is no longer possible to banish your spouse or concubine.
Crusader Kings II,it is no longer possible to send chancellor to the wrong province in the tutorial.
Crusader Kings II,"turkish portraits show blinded eyes, boils, scars and red spots correctly now."
Crusader Kings II,male-only lovers events no longer triggers for women.
Crusader Kings II,single-only lovers events no longer fires for married characters.
Crusader Kings II,'S' can now be used as a shortcut to split an army in two.
Crusader Kings II,you can no longer grant Eunuchs tribal counties.
Crusader Kings II,you no longer gain religious authority for looting temples of your own religion.
Crusader Kings II,Jews no longer want boar meat for their feasts.
Crusader Kings II,tooltips on dead characters now list their primary tier titles.
Crusader Kings II,decadence tooltip now uses a consistent amount of decimals.
Crusader Kings II,Muslim rulers now correctly get a negative opinion against Byzantine emperor who renounces iconoclasm.
Crusader Kings II,loading should be slightly faster.
Crusader Kings II,building tooltip in the outliner now show the correct name for muslim buildings.
Crusader Kings II,"all spouses will now move along with courtiers that become landed, instead of just moving the first wife."
Crusader Kings II,divorces now cost as much prestige as would be gained upon marrying the character.
Crusader Kings II,"buying indulgence for your sins from the Pope now has a better opinion and piety effect than before, but can only be done once per lifetime."
Crusader Kings II,impregnation of lovers is now handled in the code.
Crusader Kings II,characters can now have up to five lovers at the same time.
Crusader Kings II,"the Nestorians are no longer a heresy, and have their own holy order."
Crusader Kings II,the decision to acknowledge bastards as your own now works again.
Crusader Kings II,becoming infirm will now abort self improval ambitions.
Crusader Kings II,characters now lose the ambition to get married upon becoming eunuchs or homosexual.
Crusader Kings II,Cathar women can now have the same career ambitions as men.
Crusader Kings II,compressed saves are now saved with meta data to improve performance.
Crusader Kings II,localisation of other languages now defaults to English.
Crusader Kings II,less willing to marry young male characters to older women.
Crusader Kings II,color table for converter is now in 0-255 range instead of 0-1.
Crusader Kings II,color table for converter can now script per CK2 title tag as well.
Crusader Kings II,"women can now die in childbirth, and there can be other complications, like illness and sickly infants."
Crusader Kings II,concubines will no longer have marriage ambitions as they cannot get married.
Crusader Kings II,concubines can now have the ambition to have a daughter.
Crusader Kings II,"the Aztecs, Mongols and Seljuks now spawn with more but smaller regiments."
Crusader Kings II,the black bastard blood drop is now shown correctly with the new bastard dynasty system.
Crusader Kings II,Louis II of Italy now has the correct Wikipedia link.
Crusader Kings II,the Duke of Portucale now has an heir in 867.
Crusader Kings II,Eudokia is now the Byzantine Empress for six months in 1067.
Crusader Kings II,Anglo-Saxon England now has feudal elective law.
Crusader Kings I,now natives no longer should spawn in Africa.
Crusader Kings I,"if a character of special interest dies, they will now be removed from characters of special interest."
Crusader Kings I,dead spouses are now shown with the old previous/next spouse buttons.
Crusader Kings I,birth rates have been reduced a lot.
Crusader Kings I,posthumously born children of Doges no longer get a claim on the Republic.
Crusader Kings I,the names of Interesting Muslims should now be displayed correctly.
Crusader Kings I,friends and rivals events should now be a bit more common.
Crusader Kings I,Gyda Eiriksdottir now has the correct father.
Crusader Kings I,Hoël of Nantes is no longer lowborn.
Crusader Kings I,Burgonde de Bachaumont is now properly female.
Crusader Kings I,more nasty plots against overly powerful dynasties.
